AYO ;2014;label;Ayo (Chant),Guillaume Poncelet (Claviers),Christopher Thomas (Basse),Charles Haynes (Batterie),Sherrod Barnes (G
Norma Jean Martine ;2013;label;Norma Jean Martine (Vocals/Piano/Guitar),Rick Hornby (Guit
Agnes Obel ;2014;label;Agnes Obel (Piano/Vocals),Anne Muller (Cello/Backing vocals),Charlotte Danhier (Cello/Backing vocals),Sophie Bayet (Vio
Olafur Arnalds ;2014;label;Olafur Arnalds (Piano),Siun Milne (Violin),Bjork Oskarsdottir (Violin),Karl Pestka (Viola),Hallgrimur Jensson (Cello),Arnor Dan Arnarso
Bastian Baker ;2012;label;Bastian Baker (Vocals/Guitar),Joris Amann (Guitar),Nathan Bonjour (Batterie),Simon Jaccard (Claviers/Backing Vocals),Christophe Zindel (Bass),Phil Paris (Percu
Chris Rea ;1984;label;Chris Rea (voc,Martin Ditcham (perc),Kevin Leach (kbds),Graham Watson (kbds),Jerry Stevenson (g),Kevin Powell (b),Jeff Seopardie (d
Selah Sue ;2014;label;Selah Sue (Lead Vocal/Guitar),Joachim Saerens (Keyboards),Yannick Werther (Guitars),Jordi Geuens (Drums),Erik Rademakers (
La Coka Nostra ;2009;label;Everlast (MC),Danny Boy (MC),DJ Illegal (turntables),Ill Bill (MC),Slaine (MC),Sicknature (MC)  
Tiken Jah Fakoly ;2014;label;Moussa Doumbia (Lead singer),Julie Brou (Choriste),Wendy Engone Akoughey (Choriste),Didier Bolay (Cuivre),Jean Baptiste Dobiecki (Cuivre),Jean Francois Quellec (Cuivre),Andra Kouyate (N'goni),Sorry Kandia Kouyate (Kora),David Jno Baptiste (Basse),Ludovic N'Holle (Drums),Avelino Quilez (Guitare),Jean-Luc Remy (Ke
Temples ;2014;label;James Bagshaw (Vocals/Guitar),Adam Smith (Guitar/keys),Thomas Walmslem (Bass),Samuel Toms (Drum
Eels ;2006;label;"The Chet (guitar),Krazy Al (backvocals,Derek ""Knuckles"" "
Buika ;2014;label;Concha Buika (Singer),Ramon Suarez Escobar (Cajon),Daniel Lopez Vicente (Guitar),Jose Posada Ovied
Buddy Guy and Junior Wells ;1974;label;Buddy Guy (g,Junior Wells (hca,Terry Taylor (g),Bill Wyman (b),Dallas Taylor (dr),Pinetop Perkins (p,el-p)            
